X,Bintang,Pengguna,Komen,Tanggal
100,Diberi rating 5 bintang dari 5 bintang Diberi,Jamal Udin,knapa menunggu proses validasi terus kpan di acc y kasih keterangan lebih jelas di acc atau ga y jnang di gantung gini min,01/25/2020
101,Diberi rating 5 bintang dari 5 bintang Diberi,Heru Susanto,Kartu kredit yang saya ajukan berhasil lebih mudah.,02/09/2020
102,Diberi rating 5 bintang dari 5 bintang Diberi,Yas Mulyani,Aslisi ini aplikasi ngebantu bgt gabisa ditempat yg kita pengen langsung dicariin sampai ke approv. Ahh gilasi sebahagia ini bisa dapet aplikasi ini🥰,01/22/2020
103,Diberi rating 5 bintang dari 5 bintang Diberi,Ahmad Irfan,"memudahkan pengguna, sangat sangat membantu, terima kasih 😁",02/14/2020
104,Diberi rating 1 bintang dari 5 bintang Diberi,Muhammad Hamdani,Tlng dong pinjaman atas nama hamdani klo emng di acc secepat nya karna syh butuh. Tpi klo di tolak info nya dong jangan di gantung kaya ginih bos,12/08/2019
105,Diberi rating 5 bintang dari 5 bintang Diberi,Iskandar As Safei,"Mudah2an pengajuan Kartu Kredit saya di terima, sangat butuh buat modal usaha...",12/14/2019
106,Diberi rating 5 bintang dari 5 bintang Diberi,agus sugianto -badot,Mudah mudahan bisa karna sudah 4 hari kerja belum ada kejelasan,01/23/2020
107,Diberi rating 5 bintang dari 5 bintang Diberi,Raja raja,Sangat membantu dalam waktu yang singkat yang saling membutuhkan,01/26/2020
108,Diberi rating 5 bintang dari 5 bintang Diberi,Putri rifa Hartono,Semoga pinjaman saya atas nama DODI HARTONO di setujui. Mohon kerja sama nya.,12/19/2019
109,Diberi rating 1 bintang dari 5 bintang Diberi,royadi gepeng,Tolong data sya di hapus di karnakn apliksi ny cuma ngabil data sya..pinjeman sya ngga ada tanggapan sama sekali mohon di bantu pihak cermati,12/31/2019
110,Diberi rating 5 bintang dari 5 bintang Diberi,Feri Mubarok,saya memerlukan uang buat renovasi rumah bagian dapur min mhon d approv dong,02/13/2020
111,Diberi rating 1 bintang dari 5 bintang Diberi,Wisnu Tyantoro,Pengajuan dari tggl 14 sampe sekarang tidak ada penjelasan,01/18/2020
112,Diberi rating 5 bintang dari 5 bintang Diberi,Sinar Pakpahan,"Proses mudah, dan pencairan dana cepat, saya suka, dan rumah saya tidak bocor lgi 😊😊😊😊😊😊😊",12/25/2019
113,Diberi rating 1 bintang dari 5 bintang Diberi,Herman Ajja,aplikasi ngk jelas....tlng hapus data sy ngk kl ngk mau urusannya panjang...,01/25/2020
114,Diberi rating 1 bintang dari 5 bintang Diberi,oke cancel,Cermati apaan sihh buat susah aja Sudah di ajukan tetap saja tidak bisa,01/06/2020
115,Diberi rating 5 bintang dari 5 bintang Diberi,Pricilia SE,Saya sangat senang dengan hasil. Respon nya juga cepat.,01/09/2020
116,Diberi rating 3 bintang dari 5 bintang Diberi,Agung Widianto,"Mengapa aplikasi pengajuan saya masih proses validasi saja, mohon segera di infokan",01/19/2020
